lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,jumlah_jiwa_pengungsi_tertinggi,nilai minimal,nilai maksimal,panjang jangkauan,nilai rata-rata
15,2414,506164,1226487,83554,10,400,390,205
8,207,19177,46865,740,10,175,165,92.5
2,68,9215,27020,2406,10,250,240,130
4,66,6004,15060,318,10,100,90,55
3,139,4740,18481,1245,0,160,160,80
7,37,0,0,,0,150,150,75
4,56,8270,22537,443,10,180,170,95
3,55,11735,32427,536,20,300,280,160
,,,,,,,,
3,16,1969,5420,0,20,100,80,60
6,87,6491,18367,86,10,100,90,55
4,78,4584,13814,1585,10,200,190,105
20,634,70459,245950,122417,10,400,390,205
20,192,56489,164940,38340,10,300,290,155
8,89,4925,15098,3479,10,200,190,105
2,11,1560,3553,0,10,150,140,80
4,16,2535,6327,0,10,200,190,105
1,7,2775,9335,0,30,200,170,115
3,41,4808,15299,38,10,200,190,105
2,21,2028,4327,600,30,150,120,90
,,,,,,,,
,,,,,,,,
11,57,13127,42637,2634,20,400,380,210
5,68,5604,18887,219,10,200,190,105
2,221,6095,13073,3255,10,150,140,80
7,615,64458,231566,41202,10,200,190,105
4,30,2869,8119,822,10,200,190,105
3,18,2235,7905,0,20,100,80,60
1,7,423,2088,0,20,100,80,60
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4,36,3858,13195,534,20,300,280,160
4,28,1698,6192,0,10,60,50,35
2,26,1020,3853,0,10,80,70,45
2,231,20593,70218,1137,5,200,195,102.5
2,93,16145,51234,2192,5,300,295,152.5
2,134,7833,27607,2945,5,360,355,182.5
1,26,1496,6271,0,5,200,195,102.5
2,49,1424,6025,2,5,90,85,47.5
2,59,3060,8068,183,10,190,180,100
2,82,11671,31921,198,10,120,110,65
2,72,5041,15331,751,5,170,165,87.5
2,53,1160,3840,0,10,100,90,55
2,80,2148,8209,352,5,150,145,77.5
,,,,,,,,
2,7,,,0,10,70,60,40
5,216,6967,19325,5858,10,250,240,130
3,95,3232,10166,1870,0,160,160,80
1,78,621,2131,753,10,200,190,105
2,48,1056,3420,20,5,120,115,62.5
1,17,1409,4547,0,10,110,100,60
1,22,251,705,0,10,80,70,45
1,13,,,0,10,80,70,45
1,2,,,0,10,80,70,45
3,25,15,,0,10,105,95,57.5
2,86,1935,6505,564,10,150,140,80
2,51,131,404,35,10,70,60,40
1,25,0,0,0,5,40,35,22.5
3,162,5467,19456,15558,5,300,295,152.5
1,21,303,1000,0,10,100,90,55
1,19,300,988,0,5,90,85,47.5
1,47,214,716,69,10,150,140,80
1,18,328,1068,0,10,100,90,55
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,13,387,1001,0,10,80,70,45
1,28,1848,7597,0,5,100,95,52.5
1,38,244,877,0,3,100,97,51.5
2,58,135,453,0,10,70,60,40
1,43,398,1186,0,10,135,125,72.5
2,119,315,1010,85,10,100,90,55
1,94,2915,8851,3600,10,250,240,130
1,15,150,355,0,10,100,90,55
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,16,391,1203,0,10,100,90,55
0,0,0,0,0,0,0,0,0
1,41,316,1601,0,15,100,85,57.5
4,390,22148,83406,36445,10,350,340,180
2,581,12551,43464,13808,5,200,195,102.5
2,104,3057,9687,453,5,160,155,82.5
2,106,1059,2966,75,10,130,120,70
2,47,891,3117,213,10,200,190,105
1,46,80,320,320,5,120,115,62.5
1,4,0,0,0,20,50,30,35
1,20,0,0,0,10,80,70,45
2,65,414,1300,104,10,130,120,70
2,170,1933,6250,675,10,180,170,95
2,54,0,0,0,10,60,50,35
1,18,250,827,0,10,80,70,45
